lemma,language_code,status
in the middle of sth,en,PENDING
in the midst of sth,en,PENDING
in the morning,en,PENDING
in the near future,en,PENDING
in the north,en,PENDING
in the past,en,PENDING
in the presence of sb,en,PENDING
in the presence of sth,en,PENDING
in the same way,en,PENDING
in the south,en,PENDING
in the street,en,PENDING
in the summer,en,PENDING
in the town centre,en,PENDING
in the wake of sb,en,PENDING
in the wake of sth,en,PENDING
in the way ...,en,PENDING
in the way that...,en,PENDING
in the west,en,PENDING
in the winter,en,PENDING
in this case,en,PENDING
in this way,en,PENDING
in time,en,PENDING
in time for sth,en,PENDING
in time to do sth,en,PENDING
in touch,en,PENDING
in touch with sb,en,PENDING
in town,en,PENDING
in turn,en,PENDING
in winter,en,PENDING
instead of,en,PENDING
investment in sth,en,PENDING
involvement in sth,en,PENDING
it all depends,en,PENDING
it depends,en,PENDING
it is difficult for sb to do sth,en,PENDING
it is important for sb to do,en,PENDING
it is important for sth to do,en,PENDING
it is important to do sth,en,PENDING
it takes an hour to get there.,en,PENDING
it takes...,en,PENDING
it’s a good idea to...,en,PENDING
i’d really like to...,en,PENDING
i’m afraid...,en,PENDING
i’m getting off here.,en,PENDING
i’m sorry,en,PENDING
i’m staying in tonight.,en,PENDING
just in case...,en,PENDING
keep in mind that...,en,PENDING
keep in touch,en,PENDING
keep sb in mind,en,PENDING
keep sth in mind,en,PENDING
kilometres per hour,en,PENDING
kind of sb,en,PENDING
kind of sth,en,PENDING
know how,en,PENDING
know how to do sth,en,PENDING
last month,en,PENDING
last summer,en,PENDING
last time,en,PENDING
last week,en,PENDING
last weekend,en,PENDING
last year,en,PENDING
lead to sth,en,PENDING
learn how to do sth,en,PENDING
leave sb out,en,PENDING
leave sth out,en,PENDING
less than...,en,PENDING
let alone,en,PENDING
let me help you.,en,PENDING
let me know,en,PENDING
let me...,en,PENDING
like?,en,PENDING
likely to do sth,en,PENDING
listen to sb,en,PENDING
listen to sth,en,PENDING
little more than...,en,PENDING
live on sth,en,PENDING
live with sb,en,PENDING
living room,en,PENDING
loads of sb,en,PENDING
loads of sth,en,PENDING
look after sb,en,PENDING
look after sth,en,PENDING
look after yourself,en,PENDING
look at sb,en,PENDING
look at sth,en,PENDING
look back at sth,en,PENDING
look back at your notes.,en,PENDING
look for sb,en,PENDING
look for sth,en,PENDING
look forward to sth,en,PENDING
look like sb,en,PENDING
look like sth,en,PENDING
look out,en,PENDING
look sth up,en,PENDING
lots of...,en,PENDING
make a difference,en,PENDING
make a mistake,en,PENDING
make money,en,PENDING
make plans for sth,en,PENDING
make sense,en,PENDING
make sth up,en,PENDING
make sure,en,PENDING
make sure of sth,en,PENDING
make sure that...,en,PENDING
manage to do sth,en,PENDING
may well,en,PENDING
mean to do sth,en,PENDING
mental health,en,PENDING
might happen.,en,PENDING
miles per hour,en,PENDING
millions of...,en,PENDING
mobile phone,en,PENDING
more and more,en,PENDING
more or less,en,PENDING
more than...,en,PENDING
move on,en,PENDING
move on to sth,en,PENDING
much better,en,PENDING
next month,en,PENDING
next time,en,PENDING
next week,en,PENDING
next year,en,PENDING
no doubt,en,PENDING
