lemma,language_code,status
clearly adv. a2,en,PENDING
clever adj. a2,en,PENDING
"click v., n. b1",en,PENDING
client n. b1,en,PENDING
climate n. a2,en,PENDING
"climb v. a1, n. b1",en,PENDING
clock n. a1,en,PENDING
"close1 v. a1, n. b2",en,PENDING
"close2 adj. a2, adv. b1",en,PENDING
closed adj. a2,en,PENDING
closely adv. b2,en,PENDING
cloth n. b1,en,PENDING
clothes n. a1,en,PENDING
clothing n. a2,en,PENDING
cloud n. a2,en,PENDING
club n. a1,en,PENDING
clue n. b1,en,PENDING
"coach n. a2, v. b1",en,PENDING
coal n. b1,en,PENDING
coast n. a2,en,PENDING
coat n. a1,en,PENDING
code n. a2,en,PENDING
coffee n. a1,en,PENDING
coin n. b1,en,PENDING
"cold adj., n. a1",en,PENDING
"collapse v., n. b2",en,PENDING
colleague n. a2,en,PENDING
collect v. a2,en,PENDING
collection n. b1,en,PENDING
college n. a1,en,PENDING
colour n. a1,en,PENDING
coloured adj. b1,en,PENDING
column n. a2,en,PENDING
combination n. b2,en,PENDING
combine v. b1,en,PENDING
come v. a1,en,PENDING
comedy n. a2,en,PENDING
"comfort n., v. b2",en,PENDING
comfortable adj. a2,en,PENDING
"command n., v. b2",en,PENDING
"comment n. a2, v. b1",en,PENDING
"commercial adj., n. b1",en,PENDING
"commission n., v. b2",en,PENDING
commit v. b1,en,PENDING
commitment n. b2,en,PENDING
committee n. b2,en,PENDING
"common adj., n. a1",en,PENDING
commonly adv. b2,en,PENDING
communicate v. a2,en,PENDING
communication n. b1,en,PENDING
community n. a2,en,PENDING
company n. a1,en,PENDING
compare v. a1,en,PENDING
comparison n. b1,en,PENDING
compete v. a2,en,PENDING
competition n. a2,en,PENDING
competitive adj. b1,en,PENDING
competitor n. b1,en,PENDING
complain v. a2,en,PENDING
complaint n. b1,en,PENDING
"complete adj., v. a1",en,PENDING
completely adv. a2,en,PENDING
"complex adj. b1, n. b2",en,PENDING
complicated adj. b2,en,PENDING
component n. b2,en,PENDING
computer n. a1,en,PENDING
concentrate v. b1,en,PENDING
concentration n. b2,en,PENDING
concept n. b2,en,PENDING
"concern n., v. b2",en,PENDING
concerned adj. b2,en,PENDING
concert n. a1,en,PENDING
conclude v. b1,en,PENDING
conclusion n. b1,en,PENDING
condition n. a2,en,PENDING
"conduct v., n. b2",en,PENDING
conference n. a2,en,PENDING
confidence n. b2,en,PENDING
confident adj. b1,en,PENDING
confirm v. b1,en,PENDING
"conflict n., v. b2",en,PENDING
confuse v. b1,en,PENDING
confused adj. b1,en,PENDING
confusing adj. b2,en,PENDING
connect v. a2,en,PENDING
connected adj. a2,en,PENDING
connection n. b1,en,PENDING
conscious adj. b2,en,PENDING
consequence n. b1,en,PENDING
"conservative adj., n. b2",en,PENDING
consider v. a2,en,PENDING
consideration n. b2,en,PENDING
consist v. b1,en,PENDING
consistent adj. b2,en,PENDING
constant adj. b2,en,PENDING
constantly adv. b2,en,PENDING
construct v. b2,en,PENDING
construction n. b2,en,PENDING
consume v. b1,en,PENDING
consumer n. b1,en,PENDING
"contact n., v. b1",en,PENDING
contain v. a2,en,PENDING
container n. b1,en,PENDING
contemporary adj. b2,en,PENDING
content1 n. b1,en,PENDING
"contest n., v. b2",en,PENDING
context n. a2,en,PENDING
continent n. a2,en,PENDING
continue v. a2,en,PENDING
continuous adj. b1,en,PENDING
"contract n., v. b2",en,PENDING
"contrast n., v. b1",en,PENDING
contribute v. b2,en,PENDING
contribution n. b2,en,PENDING
"control n., v. a2",en,PENDING
convenient adj. b1,en,PENDING
conversation n. a1,en,PENDING
convert v. b2,en,PENDING
convince v. b1,en,PENDING
convinced adj. b2,en,PENDING
"cook v. a1, n. a2",en,PENDING
cooker n. a2,en,PENDING
cooking n. a1,en,PENDING
"cool adj. a1, v. b1",en,PENDING
"copy n., v. a2",en,PENDING
"core n., adj. b2",en,PENDING
corner n. a2,en,PENDING
corporate adj. b2,en,PENDING
"correct adj., v. a1",en,PENDING
correctly adv. a2,en,PENDING
"cost n., v. a1",en,PENDING
costume n. b1,en,PENDING
cottage n. b1,en,PENDING
cotton n. b1,en,PENDING
could modal v. a1,en,PENDING
council n. b2,en,PENDING
"count v. a2, n. b1",en,PENDING
country n. a1,en,PENDING
countryside n. b1,en,PENDING
county n. b2,en,PENDING
couple n. a2,en,PENDING
courage n. b2,en,PENDING
course n. a1,en,PENDING
court n. b1,en,PENDING
cousin n. a1,en,PENDING
"cover v. a2, n. b1",en,PENDING
covered adj. b1,en,PENDING
cow n. a1,en,PENDING
"crash n., v. b2",en,PENDING
crazy adj. a2,en,PENDING
"cream n. a1, adj. b1",en,PENDING
create v. a1,en,PENDING
creation n. b2,en,PENDING
creative adj. a2,en,PENDING
creature n. b2,en,PENDING
"credit n. a2, v. b2",en,PENDING
crew n. b2,en,PENDING
crime n. a2,en,PENDING
"criminal n. a2, adj. b1",en,PENDING
crisis n. b2,en,PENDING
criterion n. b2,en,PENDING
critic n. b2,en,PENDING
critical adj. b2,en,PENDING
criticism n. b2,en,PENDING
criticize v. b2,en,PENDING
crop n. b2,en,PENDING
"cross v., n. a2",en,PENDING
crowd n. a2,en,PENDING
crowded adj. a2,en,PENDING
crucial adj. b2,en,PENDING
cruel adj. b1,en,PENDING
"cry v. a2, n. b2",en,PENDING
cultural adj. b1,en,PENDING
culture n. a1,en,PENDING
cup n. a1,en,PENDING
cupboard n. a2,en,PENDING
"cure v., n. b2",en,PENDING
curly adj. a2,en,PENDING
currency n. b1,en,PENDING
"current adj. b1, n. b2",en,PENDING
currently adv. b1,en,PENDING
curtain n. b1,en,PENDING
"curve n., v. b2",en,PENDING
curved adj. b2,en,PENDING
custom n. b1,en,PENDING
customer n. a1,en,PENDING
"cut v. a1, n. b1",en,PENDING
"cycle n., v. a2",en,PENDING
dad n. a1,en,PENDING
"daily adj. a2, adv. b1",en,PENDING
"damage n., v. b1",en,PENDING
"dance n., v. a1",en,PENDING
dancer n. a1,en,PENDING
dancing n. a1,en,PENDING
danger n. a2,en,PENDING
dangerous adj. a1,en,PENDING
"dark adj. a1, n. a2",en,PENDING
data n. a2,en,PENDING
"date n. a1, v. b2",en,PENDING
daughter n. a1,en,PENDING
day n. a1,en,PENDING
dead adj. a2,en,PENDING
"deal v. a2, n. b1",en,PENDING
"dear adj. a1, exclam. a2",en,PENDING
death n. a2,en,PENDING
"debate n., v. b2",en,PENDING
debt n. b2,en,PENDING
decade n. b1,en,PENDING
december n. a1,en,PENDING
decent adj. b2,en,PENDING
decide v. a1,en,PENDING
decision n. a2,en,PENDING
declare v. b2,en,PENDING
"decline v., n. b2",en,PENDING
decorate v. b1,en,PENDING
decoration n. b2,en,PENDING
"decrease v., n. b2",en,PENDING
"deep adj. a2, adv. b1",en,PENDING
deeply adv. b2,en,PENDING
"defeat v., n. b2",en,PENDING
defence n. b2,en,PENDING
defend v. b2,en,PENDING
define v. b1,en,PENDING
definite adj. b1,en,PENDING
definitely adv. a2,en,PENDING
definition n. b1,en,PENDING
degree n. a2,en,PENDING
"delay v., n. b2",en,PENDING
deliberate adj. b2,en,PENDING
deliberately adv. b2,en,PENDING
delicious adj. a1,en,PENDING
"delight v., n. b2",en,PENDING
delighted adj. b2,en,PENDING
deliver v. b1,en,PENDING
delivery n. b2,en,PENDING
"demand n., v. b2",en,PENDING
demonstrate v. b2,en,PENDING
dentist n. a2,en,PENDING
deny v. b2,en,PENDING
department n. a2,en,PENDING
departure n. b1,en,PENDING
depend v. a2,en,PENDING
depressed adj. b2,en,PENDING
depressing adj. b2,en,PENDING
depth n. b2,en,PENDING
describe v. a1,en,PENDING
description n. a1,en,PENDING
"desert n. a2, v. b2",en,PENDING
deserve v. b2,en,PENDING
"design n., v. a1",en,PENDING
designer n. a2,en,PENDING
"desire n., v. b2",en,PENDING
desk n. a1,en,PENDING
desperate adj. b2,en,PENDING
despite prep. b1,en,PENDING
destination n. b1,en,PENDING
destroy v. a2,en,PENDING
"detail n. a1, v. b2",en,PENDING
detailed adj. b2,en,PENDING
detect v. b2,en,PENDING
detective n. a2,en,PENDING
determine v. b1,en,PENDING
determined adj. b1,en,PENDING
develop v. a2,en,PENDING
development n. b1,en,PENDING
device n. a2,en,PENDING
diagram n. b1,en,PENDING
dialogue n. a1,en,PENDING
diamond n. b1,en,PENDING
diary n. a2,en,PENDING
dictionary n. a1,en,PENDING
die v. a1,en,PENDING
diet n. a1,en,PENDING
difference n. a1,en,PENDING
different adj. a1,en,PENDING
differently adv. a2,en,PENDING
difficult adj. a1,en,PENDING
difficulty n. b1,en,PENDING
dig v. b2,en,PENDING
digital adj. a2,en,PENDING
dinner n. a1,en,PENDING
"direct adj. a2, v., adv. b1",en,PENDING
direction n. a2,en,PENDING
directly adv. b1,en,PENDING
director n. a2,en,PENDING
dirt n. b1,en,PENDING
dirty adj. a1,en,PENDING
disadvantage n. b1,en,PENDING
disagree v. a2,en,PENDING
disappear v. a2,en,PENDING
disappointed adj. b1,en,PENDING
disappointing adj. b1,en,PENDING
disaster n. a2,en,PENDING
disc n. b2,en,PENDING
discipline n. b2,en,PENDING
"discount n. b1, v. b2",en,PENDING
discover v. a2,en,PENDING
discovery n. a2,en,PENDING
discuss v. a1,en,PENDING
discussion n. a2,en,PENDING
disease n. a2,en,PENDING
dish n. a1,en,PENDING
dishonest adj. b2,en,PENDING
"dislike v., n. b1",en,PENDING
dismiss v. b2,en,PENDING
"display v., n. b2",en,PENDING
distance n. a2,en,PENDING
distribute v. b2,en,PENDING
distribution n. b2,en,PENDING
district n. b2,en,PENDING
"divide v. b1, n. b2",en,PENDING
division n. b2,en,PENDING
divorced adj. a2,en,PENDING
"do1 v., auxiliary v. a1",en,PENDING
doctor n. a1,en,PENDING
"document n. a2, v. b2",en,PENDING
documentary n. b1,en,PENDING
dog n. a1,en,PENDING
dollar n. a1,en,PENDING
domestic adj. b2,en,PENDING
dominate v. b2,en,PENDING
donate v. b1,en,PENDING
door n. a1,en,PENDING
"double adj., det., pron., v. a2,",en,PENDING
"doubt n., v. b1",en,PENDING
"down adv., prep. a1",en,PENDING
"download v., n. a2",en,PENDING
"downstairs adv. a1, adj. a2",en,PENDING
downwards adv. b2,en,PENDING
"dozen n., det. b2",en,PENDING
"draft n., v. b2",en,PENDING
drag v. b2,en,PENDING
drama n. a2,en,PENDING
dramatic adj. b2,en,PENDING
draw v. a1,en,PENDING
drawing n. a2,en,PENDING
"dream n., v. a2",en,PENDING
"dress n., v. a1",en,PENDING
dressed adj. b1,en,PENDING
"drink n., v. a1",en,PENDING
"drive v. a1, n. a2",en,PENDING
driver n. a1,en,PENDING
driving n. a2,en,PENDING
"drop v. a2, n. b1",en,PENDING
drug n. a2,en,PENDING
drum n. b1,en,PENDING
drunk adj. b1,en,PENDING
"dry adj., v. a2",en,PENDING
due adj. b1,en,PENDING
during prep. a1,en,PENDING
dust n. b1,en,PENDING
duty n. b1,en,PENDING
dvd n. a1,en,PENDING
each adv. a1,en,PENDING
each det. a1,en,PENDING
each pron. a1,en,PENDING
ear n. a1,en,PENDING
"early adj., adv. a1",en,PENDING
earn v. a2,en,PENDING
earth n. a2,en,PENDING
earthquake n. b1,en,PENDING
easily adv. a2,en,PENDING
"east n., adj., adv. a1",en,PENDING
eastern adj. b1,en,PENDING
easy adj. a1,en,PENDING
eat v. a1,en,PENDING
economic adj. b1,en,PENDING
economy n. b1,en,PENDING
edge n. b1,en,PENDING
edit v. b2,en,PENDING
edition n. b2,en,PENDING
editor n. b1,en,PENDING
educate v. b1,en,PENDING
educated adj. b1,en,PENDING
education n. a2,en,PENDING
educational adj. b1,en,PENDING
